,Unnamed: 0,gutenberg_id,title,book_id
92,92,120,Treasure Island,295
93,93,56528,Germinal,28407
95,95,63445,Indiana,104260
97,97,1400,Great Expectations,2623
98,98,12485,The Three Brides,9578091
100,100,2081,The Blithedale Romance,50776
101,101,30486,Shirley,31168
102,102,11053,Minnie's Sacrifice,8122147
103,103,1081,Dead Souls,28381
104,104,158,Emma,6969
105,105,786,Hard Times,5344
106,106,153,Jude the Obscure,50798
108,108,103,Around the World in Eighty Days,54479
109,109,155,The Moonstone,6138
110,110,1709,New Grub Street,782519
111,111,24210,Deerbrook,1339655
112,112,479,Little Lord Fauntleroy,275247
113,113,8157,Esther Waters,648316
114,114,3659,The Rosary,1420762
115,115,160,"The Awakening, and Selected Short Stories",58345
116,116,700,The Old Curiosity Shop,429024
117,117,77,The House of the Seven Gables,90192
118,118,56878,"First love, and other stories",3532
119,119,110,Tess of the d'Urbervilles: A Pure Woman,32261
120,120,43092,The Dead Secret: A Novel,1009216
121,121,5825,The Courage of the Commonplace,6626581
122,122,3055,The Wood Beyond the World,723155
123,123,3622,The Duke's Children,374380
124,124,4537,Sylvia's Lovers — Complete,830205
125,125,345,Dracula,17245
126,126,2142,Childhood,2359878
127,127,4274,Wives and Daughters,383206
128,128,5998,"Waverley; Or, 'Tis Sixty Years Since",539025
129,129,1342,Pride and Prejudice,1885
130,130,3044,Desperate Remedies,297851
132,132,178,Confidence,2748141
133,133,5140,He Knew He Was Right,267104
134,134,2158,The Prime Minister,526187
135,135,5124,"Henrietta's Wish; Or, Domineering",4546316
136,136,18000,Phineas Finn: The Irish Member,374352
137,137,564,The Mystery of Edwin Drood,329957
138,138,550,Silas Marner,54539
139,139,500,The Adventures of Pinocchio,180617
140,140,1895,Armadale,777108
141,141,51060,"The Narrative of Arthur Gordon Pym of Nantucket: Comprising the details of a mutiny and atrocious butchery on board the American brig Grampus, on her way to the South Seas, in the month of June, 1827.",766869
142,142,46528,Whispering Tongues,22925782
143,143,9182,Villette,31173
144,144,2450,Boyhood,2359865
145,145,284,The House of Mirth,17728
146,146,20524,Culm Rock: The Story of a Year: What it Brought and What it Taught,27712462
147,147,3006,Stalky & Co.,45057
148,148,967,Nicholas Nickleby,325085
149,149,2511,"The History of Henry Esmond, Esq., a Colonel in the Service of Her Majesty Queen Anne",900765
150,150,6944,"The Heart of Mid-Lothian, Complete",699484
151,151,143,The Mayor of Casterbridge,56759
152,152,580,The Pickwick Papers,229432
153,153,6688,The Mill on the Floss,20564
154,154,5658,Lord Jim,12194
155,155,52247,A Man from the North,7345793
156,156,18247,The Last Man,966835
157,157,768,Wuthering Heights,6185
158,158,1906,"Erewhon; Or, Over the Range",516570
159,159,73,The Red Badge of Courage: An Episode of the American Civil War,35220
160,160,21044,The Willoughby Captains,5686003
161,161,146,A Little Princess: Being the whole story of Sara Crewe now told for the first time,3008
162,162,1260,Jane Eyre: An Autobiography,10210
163,163,4761,The Cossacks: A Tale of 1852,17698
164,164,521,The Life and Adventures of Robinson Crusoe,2932
165,165,421,Kidnapped,325128
166,166,583,The Woman in White,5890
167,167,1985,Men's Wives,4064577
168,168,2885,The House of the Wolfings: A Tale of the House of the Wolfings and All the Kindreds of the Mark Written in Prose and in Verse,2270649
169,169,16517,Liza of Lambeth,398936
170,170,5897,Castle Richmond,1481415
171,171,3261,"News from Nowhere; Or, An Epoch of Rest: Being Some Chapters from a Utopian Romance",189746
172,172,2226,Kim,210834
173,173,1327,Elizabeth and Her German Garden,1140698
174,174,46,A Christmas Carol in Prose; Being a Ghost Story of Christmas,5326
175,175,1399,Anna Karenina,15823480
176,176,55,The Wonderful Wizard of Oz,236093
177,177,2860,Framley Parsonage,267102
178,178,12352,"Iola Leroy; Or, Shadows Uplifted",182086
179,179,20781,Heidi: (Gift Edition),93
180,180,244,A Study in Scarlet,102868
181,181,26002,Linda Tressel,149792
182,182,11620,My Brilliant Career,119042
183,183,1023,Bleak House,31242
184,184,11056,Trial and Triumph,2338870
185,185,14833,"Varney the Vampire; Or, the Feast of Blood",2292060
186,186,41286,Miss Marjoribanks,514761
187,187,86,A Connecticut Yankee in King Arthur's Court,162898
188,188,24020,Romola,835508
189,189,176,Roderick Hudson,856226
190,190,2864,The Trumpet-Major,1128994
191,191,19513,A Journey to the Center of the Earth,32829
192,192,766,David Copperfield,58696
193,193,19942,Candide,19380
194,194,946,Lady Susan,91582
195,195,2788,Little Men: Life at Plumfield With Jo's Boys,372319
196,196,541,The Age of Innocence,53835
197,197,177,The American,20675
198,198,21847,Dr. Wortle's School,149784
199,199,6050,"The Roots of the Mountains: Wherein Is Told Somewhat of the Lives of the Men of Burgdale, Their Friends, Their Neighbours, Their Foemen, and Their Fellows in Arms",36820
200,200,44747,The Red and the Black: A Chronicle of 1830,14662
201,201,940,The Last of the Mohicans; A narrative of 1757,38296
202,202,32325,The Adventures of Huckleberry Finn (Tom Sawyer's Comrade),2956
203,203,767,Agnes Grey,298230
204,204,2853,Quo Vadis: A Narrative of the Time of Nero,538845
205,205,2787,An Old-Fashioned Girl,246546
206,206,1424,Castle Rackrent,251290
207,207,969,The Tenant of Wildfell Hall,337113
208,208,2788,Little Men: Life at Plumfield With Jo's Boys,78950
209,209,5164,The Beetle: A Mystery,816740
210,210,25344,The Scarlet Letter,12296
211,211,37106,"Little Women; Or, Meg, Jo, Beth, and Amy",1934
212,212,43,The Strange Case of Dr. Jekyll and Mr. Hyde,51496
213,213,6406,The Monastery,712958
214,214,1026,The Diary of a Nobody,535856
215,215,169,The Well at the World's End: A Tale,3218173
216,216,1586,Man and Wife,720016
217,217,432,The Ambassadors,775366
218,218,883,Our Mutual Friend,31244
219,219,40203,Arsène Lupin versus Herlock Sholmes,141263
220,220,83,"From the Earth to the Moon; and, Round the Moon",32827
221,221,4347,My Young Alcides: A Faded Photograph,21369397
222,222,74,"The Adventures of Tom Sawyer, Complete",24583
223,223,98,A Tale of Two Cities,1953
224,224,21042,"Roger Ingleton, Minor",21276862
225,225,161,Sense and Sensibility,14935
226,226,174,The Picture of Dorian Gray,5297
227,227,19500,Can You Forgive Her?,374371
228,228,15294,A Country Doctor and Selected Stories and Sketches,360370
229,229,974,The Secret Agent: A Simple Tale,86658
230,230,4313,The Odd Women,675037
231,231,6852,Venus in Furs,427354
232,232,5118,The American Senator,267117
233,233,82,Ivanhoe: A Romance,6440
234,234,179,The Europeans,137277
235,235,26692,A Daughter of Raasay: A Tale of the '45,8204237
236,236,102,The Tragedy of Pudd'nhead Wilson,682793
237,237,2686,The Book of Snobs,14110
238,238,1268,The Mysterious Island,32831
239,239,3178,The Gilded Age: A Tale of Today,98906
241,241,164,Twenty Thousand Leagues under the Sea,33507
242,242,4296,Friarswood Post Office,18722021
243,243,95,The Prisoner of Zenda,54492
244,244,2852,The Hound of the Baskervilles,8921
245,245,18640,Phineas Redux,374360
246,246,8991,"The Fur Country: Or, Seventy Degrees North Latitude",1711371
247,247,3744,"The Trial; Or, More Links of the Daisy Chain",2484891
248,248,57447,The Romance of a Shop,1407178
249,249,1257,The Three Musketeers,7190
250,250,2770,Five Little Peppers and How They Grew,7911
252,252,507,Adam Bede,20563
253,253,170,The Haunted Hotel: A Mystery of Modern Venice,355730
254,254,3045,The Last Chronicle of Barset,149789
255,255,3411,The Stokesley Secret,20620795
256,256,165,McTeague: A Story of San Francisco,168655
257,257,67829,"A Floating City, and The Blockade Runners",32851
258,258,3469,The Hand of Ethelberta: A Comedy in Chapters,467111
259,259,5251,The Long Vacation,19278453
260,260,25001,An Old Man's Love,1021455
261,261,917,Barnaby Rudge: A Tale of the Riots of 'Eighty,11026
262,262,105,Persuasion,2156
263,263,121,Northanger Abbey,50398
264,264,4558,Barry Lyndon,139888
265,265,54700,Oblomov,254308
266,266,57038,The Monomaniac (La bête humaine),28417
